"Демократы голосуют за законопроект, а республиканцы _ против _.","Демократы голосуют за законопроект, а республиканцы голосуют против законопроекта."
"Я не умею танцевать танго, но _ хочу _.","Я не умею танцевать танго, но я хочу уметь танцевать танго."
"Мальчиком я играл в баскетбол, а _ мой друг _ в бейсбол.","Мальчиком я играл в баскетбол, а мальчиком мой друг играл в бейсбол."
"У него день рождения в июне, и у неё тоже _.","У него день рождения в июне, и у неё тоже день рождения в июне."
"Мой брат думает, что лучше охотиться с луком, чем _ с винтовкой.","Мой брат думает, что лучше охотиться с луком, чем охотиться с винтовкой."
"Петя хочет начать изучать французский язык, а Вася пытается _ немецкий.","Петя хочет начать изучать французский язык, а Вася пытается начать изучать немецкий язык."
"Преследовать и звать его он не захотел, он знал почему _.","Преследовать и звать его он не захотел, он знал почему преследовать и звать его он не захотел."
"Каждый пригласил кого-то танцевать, но я не помню, кто кого _.","Каждый пригласил кого-то танцевать, но я не помню, кто кого пригласил."
"Он говорит с иностранным акцентом, но мы не знаем почему _.","Он говорит с иностранным акцентом, но мы не знаем почему он говорит с иностранным акцентом."
"Мои друзья поедут туда на самолёте, а я _ на машине.","Мои друзья поедут туда на самолёте, а я поеду на машине."
"Граница Финландии с Россией длинная, _ с Норвегией короткая, а _ со Швецией - средняя.","Граница Финландии с Россией длинная, граница Финландии с Норвегией короткая, а граница Финландии со Швецией - средняя."
"Я хорошо понимаю математику, но _ не _ биологию.","Я хорошо понимаю математику, но я не хорошо понимаю биологию."
"Петя в Москву приехал, а Вася в Петербург нет _.","Петя в Москву приехал, а Вася в петербург не приехал."
"Он починил мою машину, но я не понимаю как _.","Он починил мою машину, но я не понимаю как он починил мою машину."
"В понедельник мы читали первую часть романа, и во вторник _ вторую _.","В понедельник мы читали первую часть романа, и во вторник мы читали вторую часть романа."
"Они купили надувной замок, но не ясно кому _.","Они купили надувной замок, но не ясно кому они купили надувной замок."
"Она меня не любит, и я её _.","Она меня не любит, и я её не люблю."
"Я говорю по-русски, но _ не очень хорошо _.","Я говорю по-русски, но не очень хорошо говорю по-русски."
"Каждый год он разбивает стакан, и его мать тоже _.","Каждый год он разбивает стакан, и его мать тоже каждый год разбивает стакан."
"А он, даже если _ захочет, не сможет...","А он, даже если он захочет, не сможет..."
"Теперь уж Алеша был почти уверен в этом, сам не зная еще почему _.","Теперь уж Алеша был почти уверен в этом, сам не зная еще почему был почти уверен в этом."
"Я ездила туда не только в те дни, когда _ танцевала.","Я ездила туда не только в те дни, когда я танцевала."
"Хорошие студенты всегда делают домашки, а плохие студенты никогда _.","Хорошие студенты всегда делают домашки, а плохие студенты никогда не делают домашки."
"Они сейчас говорят по-украински, а _ не _ по-русски.","Они сейчас говорят по-украински, а они сейчас не говорят по-русски."
"Я бросил кружку, а сестра _ тарелку.","Я бросил кружку, а сестра бросила тарелку."
"Каждый день утром он ест хлопья, и _ вечером _ тоже.","Каждый день утром он ест хлопья, и каждый день вечером он ест хлопья тоже."
"Кто-то съел все печенья, но я не знаю, кто _.","Кто-то съел все печенья, но я не знаю, кто съел все печенья."
"Маша кому-то что-то подарила, но я не помню кому что _.","Маша кому-то что-то подарила, но я не помню кому что Маша подарила."
"Я предпочитаю слушать его старые песни, а _ не _ новые.","Я предпочитаю слушать его старые песни, а я не предпочитаю слушать его новые песни."
"Когда Петя пришел, я обрадовался, а Вася нет _.","Когда Петя пришел, я обрадовался, а Вася не обрадовался."
"Саша прочитал мою статью, а Дима прочитал твою _.","Саша прочитал мою статью, а Дима прочитал твою статью."
"Я не могу видеть без очков, а моя подруга может _.","Я не могу видеть без очков, а моя подруга может видеть без очков."
"Петя хочет начать изучать французский язык, а Вася _ немецкий _.","Петя хочет начать изучать французский язык, а Вася хочет начать изучать немецкий язык."
"Верю, да не знаю во что _.","Верю, да не знаю во что верю."
"Андрей считает, что никто не будет делать это домашнее задание, но я буду _.","Андрей считает, что никто не будет делать это домашнее задание, но я буду делать это домашнее задание."
"Кто-то что-то пел, но я не понимал, кто что _.","Кто-то что-то пел, но я не понимал, кто что пел."
"Я ненавижу Марка, и ты тоже _.","Я ненавижу Марка, и ты тоже ненавидишь Марка."
"И Ольгу встретили в магазине, и Kатю _.","И Ольгу встретили в магазине, и Kатю встретили в магазине."
"Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется _.","Он сомневается, что когда-нибудь выиграет в лотерею, но всё таки надеется, что когда-нибудь выиграет в лотерею."
"Мне вчера что-то снилось, но не помню, что _.","Мне вчера что-то снилось, но не помню, что мне снилось."
"Я сначала приправлю суп паприкой, а потом _ чёрным перцем.","Я сначала приправлю суп паприкой, а потом приправлю суп чёрным перцем."
"Митя предложил Кате пойти в кино, а Катя Мите _ в музей.","Митя предложил Кате пойти в кино, а Катя предложила Мите пойти в музей."
"Бизнесмен получил два ранения, а его водитель _ три ранения.","Бизнесмен получил два ранения, а его водитель получил три ранения."
"Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга _ ""Хоббита"".","Каждый год я перечитываю ""Влаcтелина колец"", а моя подруга каждый год перечитывает ""Хоббита""."
"Что-то купили на рынке, но ещё не объяснили что _.","Что-то купили на рынке, но ещё не объяснили что купили на рынке."
"Георгий готовит макароны, а Лена _ песто.","Георгий готовит макароны, а Лена готовит песто."
"Я ненавижу Марка, и тебя тоже _.","Я ненавижу Марка, и тебя тоже ненавижу."
"Он придумал музыку песни, а она _ текст.","Он придумал музыку песни, а она придумала текст."
"Я задал ему три вопроса, и ты тоже _.","Я задал ему три вопроса, и ты тоже задал ему три вопроса."
"Вы не можете ответить, или просто не хотите _ ?","Вы не можете ответить, или просто не хотите ответить?"
"Все ненавидят наш дом, но любят их _.","Все ненавидят наш дом, но все любят их дом."
"Иван улыбается, и Миша знает почему _.","Иван улыбается, и Миша знает почему Иван улыбается."
"Лидия переедет в Тверь, а её сестра _ в Новосибирск.","Лидия переедет в Тверь, а её сестра переедет в Новосибирск."
"Она знает больше о своей стране, чем он _.","Она знает больше о своей стране, чем он знает о её стране."
"Они сейчас говорят на украинском языке, а _ не _ на русском _.","Они сейчас говорят на украинском языке, а они не говорят на русском языке."
"Человек описывает какой-то город, но нам не ясно, какой _.","Человек описывает какой-то город, но нам не ясно, какой город человек описывает."
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет _.","Я думал, что Саша будет петь эту песню, а на самом деле Маша будет петь эту песню."
"Петя увидел белого зайца после того, как Вася увидел черного _.","Петя увидел белого зайца после того, как Вася увидел черного зайца."
"Они попросили меня пойти на озеро, но у меня нет времени _.","Они попросили меня пойти на озеро, но у меня нет времени пойти на озеро."
"В Москву я хочу поехать, а в Петербург _ нет _.","В Москву я хочу поехать, а в Петерберг я не хочу поехать."
"Я в первый раз там попробовал сало, а ты _ зразы.","Я в первый раз там попробовал сало, а ты в первый раз там попробовал зразы."
"Она встала и ушла, а её парень не знал, почему _.","Она встала и ушла, а её парень не знал, почему она встала и ушла."
"Офицеры носят фуражку, а пехотинцы _ простые пилотки.","Офицеры носят фуражку, а пехотинцы носят простые пилотки."
"Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a уменьшил _.","Cледовательно, бросая камень, мальчик не увеличивал его кинетическую энергию, a уменьшил его кинетическую энергию."
"Я в первый раз там попробовал сало, и ты тоже _.","Я в первый раз там попробовал сало, и ты тоже в первый раз там попробовала сало."
"Я люблю пиво, а ты _ вино.","Я люблю пиво, а ты любишь вино."
"Я подготовлю материалы на понедельник, а ты _ на вторник.","Я подготовлю материалы на понедельник, а ты подготовишь материалы на вторник."
"Я сделал один бутерброд утром, и потом ещё один _ вечером.","Я сделал один бутерброд утром, и потом ещё один бутерброд сделал я вечером."
